	entity_ner_class	count	ner_class	entity_name
2246	the first week,DATE	2	the first week	DATE
964	The London Assembly's,ORG	2	The London Assembly's	ORG
2252	Oxford Economics,ORG	2	Oxford Economics	ORG
962	£15m,MONEY	2	£15m	MONEY
3406	Sparkhill,GPE	2	Sparkhill	GPE
958	March of this year,DATE	2	March of this year	DATE
2926	Sports Personality of the Year,WORK_OF_ART	2	Sports Personality of the Year	WORK_OF_ART
2925	BBC Radio Manchester,ORG	2	BBC Radio Manchester	ORG
955	million,CARDINAL	2	million	CARDINAL
3402	Total Swimming,ORG	2	Total Swimming	ORG
2258	the London Chamber of Commerce and Industry,ORG	2	the London Chamber of Commerce and Industry	ORG
3400	82ft,QUANTITY	2	82ft	QUANTITY
1755	Ni Chuilin,PERSON	2	Ni Chuilin	PERSON
3446	37.07,CARDINAL	2	37.07	CARDINAL
562	7.2 per cent,PERCENT	2	7.2 per cent	PERCENT
1044	School Sports Partnership,ORG	2	School Sports Partnership	ORG
580	Peter Brook,PERSON	2	Peter Brook	PERSON
1036	BPA,ORG	2	BPA	ORG
2707	Gavin Poole,PERSON	2	Gavin Poole	PERSON
2049	John Mutton,PERSON	2	John Mutton	PERSON
2048	Cultural Olympiad,EVENT	2	Cultural Olympiad	EVENT
578	up to 9,000,CARDINAL	2	up to 9,000	CARDINAL
327	January 2008,DATE	2	January 2008	DATE
2713	69%,PERCENT	2	69%	PERCENT
766	Evening Standard,ORG	2	Evening Standard	ORG
398	Ken,PERSON	2	Ken	PERSON
2714	58%,PERCENT	2	58%	PERCENT
768	£450m,MONEY	2	£450m	MONEY
2716	88%,PERCENT	2	88%	PERCENT
2046	Mexican,NORP	2	Mexican	NORP
2217	Heather Hancock,PERSON	2	Heather Hancock	PERSON
2725	longer working days,DATE	2	longer working days	DATE
1030	Gold Challenge,EVENT	2	Gold Challenge	EVENT
1123	Ian Stewart,PERSON	2	Ian Stewart	PERSON
3125	early days,DATE	2	early days	DATE
1730	£38m,MONEY	2	£38m	MONEY
1122	Wendy Sly,PERSON	2	Wendy Sly	PERSON
2061	Chadwick,PERSON	2	Chadwick	PERSON
1502	the British Paralympic Association,ORG	2	the British Paralympic Association	ORG
3512	Pre-2005,DATE	2	Pre-2005	DATE
3509	West Norwood,GPE	2	West Norwood	GPE
3508	Dulwich,GPE	2	Dulwich	GPE
2060	£50m,MONEY	2	£50m	MONEY
1121	Alan Pascoe,PERSON	2	Alan Pascoe	PERSON
2056	Coventry University,ORG	2	Coventry University	ORG
752	BBC Five Live,ORG	2	BBC Five Live	ORG
395	the years to come,DATE	2	the years to come	DATE
1713	The Olympic Delivery Authority's,ORG	2	The Olympic Delivery Authority's	ORG
3497	Youth Sport Trust,ORG	2	Youth Sport Trust	ORG
2703	69,CARDINAL	2	69	CARDINAL
1723	only 109,000,CARDINAL	2	only 109,000	CARDINAL
3493	Ann Hoskins,PERSON	2	Ann Hoskins	PERSON
1724	£11bn of public money,MONEY	2	£11bn of public money	MONEY
2965	Lucy Wicks,PERSON	2	Lucy Wicks	PERSON
1468	17:00 GMT,TIME	2	17:00 GMT	TIME
164	ACOG,ORG	2	ACOG	ORG
3448	Oldham,GPE	2	Oldham	GPE
3462	Wandsworth,GPE	2	Wandsworth	GPE
3138	Gemma,PERSON	2	Gemma	PERSON
1017	ADRIAN WARNER'S,PERSON	2	ADRIAN WARNER'S	PERSON
780	Hywel Williams,PERSON	2	Hywel Williams	PERSON
3460	Richmond upon Thames,GPE	2	Richmond upon Thames	GPE
3459	UK Active,ORG	2	UK Active	ORG
2945	Lawrence Clarke,PERSON	2	Lawrence Clarke	PERSON
3457	Sandwell,GPE	2	Sandwell	GPE
3456	36.40,CARDINAL	2	36.40	CARDINAL
172	Martin Luther King,PERSON	2	Martin Luther King	PERSON
1444	Turner Prize,WORK_OF_ART	2	Turner Prize	WORK_OF_ART
1158	centuries,DATE	2	centuries	DATE
1753	Caral Ni Chuilin,PERSON	2	Caral Ni Chuilin	PERSON
2942	Kelly,PERSON	2	Kelly	PERSON
1754	Latin,NORP	2	Latin	NORP
790	around £100m,MONEY	2	around £100m	MONEY
183	Muhammed Ali,PERSON	2	Muhammed Ali	PERSON
316	Inside Out,WORK_OF_ART	2	Inside Out	WORK_OF_ART
2756	Fitzalan High School,ORG	2	Fitzalan High School	ORG
779	Plaid Cymru,ORG	2	Plaid Cymru	ORG
2457	Katherine Copeland,PERSON	2	Katherine Copeland	PERSON
321	Inside Out,ORG	2	Inside Out	ORG
2951	Winter Olympic,EVENT	2	Winter Olympic	EVENT
1024	90,MONEY	2	90	MONEY
166	Shirley Franklin,PERSON	2	Shirley Franklin	PERSON
2732	1km,QUANTITY	2	1km	QUANTITY
2445	the Women's Sport and Fitness Foundation,ORG	2	the Women's Sport and Fitness Foundation	ORG
773	the Olympic Development Authority,ORG	2	the Olympic Development Authority	ORG
1467	Sunday 13 November,DATE	2	Sunday 13 November	DATE
2739	Barbara Slater,PERSON	2	Barbara Slater	PERSON
2948	Sherone Simpson,PERSON	2	Sherone Simpson	PERSON
1466	20:00 GMT,TIME	2	20:00 GMT	TIME
1739	Philip McDonagh,PERSON	2	Philip McDonagh	PERSON
2742	Matthew Pinsent,PERSON	2	Matthew Pinsent	PERSON
575	the Greenwich Peninsula,LOC	2	the Greenwich Peninsula	LOC
2744	September this year,DATE	2	September this year	DATE
1463	File on 4,WORK_OF_ART	2	File on 4	WORK_OF_ART
568	5%,PERCENT	2	5%	PERCENT
2747	an amazing year,DATE	2	an amazing year	DATE
1385	Liberal Democrat,ORG	2	Liberal Democrat	ORG
1983	Vassiliki Miloussi,PERSON	2	Vassiliki Miloussi	PERSON
3514	over £1bn of public funding,MONEY	2	over £1bn of public funding	MONEY
1268	next Friday,DATE	2	next Friday	DATE
250	the last 30 years,DATE	2	the last 30 years	DATE
1858	76,DATE	2	76	DATE
1861	Guyana,GPE	2	Guyana	GPE
864	the Football Association's,ORG	2	the Football Association's	ORG
1932	Chantry,FAC	2	Chantry	FAC
1931	Whitton,FAC	2	Whitton	FAC
1930	Twilight Football,ORG	2	Twilight Football	ORG
2348	Woodford,PERSON	2	Woodford	PERSON
2830	six months later,DATE	2	six months later	DATE
3376	the World Schools Championships,EVENT	2	the World Schools Championships	EVENT
2831	Seetec,ORG	2	Seetec	ORG
3287	the end of the week,DATE	2	the end of the week	DATE
1320	Gloucestershire,GPE	2	Gloucestershire	GPE
2307	every minute,TIME	2	every minute	TIME
876	Championship,EVENT	2	Championship	EVENT
455	QE,ORG	2	QE	ORG
1870	Suffolk Sport,ORG	2	Suffolk Sport	ORG
1876	Labour Government,ORG	2	Labour Government	ORG
248	£2bn from the,MONEY	2	£2bn from the	MONEY
863	DAVID BOND,PERSON	2	DAVID BOND	PERSON
3299	2.93,CARDINAL	2	2.93	CARDINAL
2824	at least two years,DATE	2	at least two years	DATE
3310	240,700,CARDINAL	2	240,700	CARDINAL
3230	Dafydd Wigley,PERSON	2	Dafydd Wigley	PERSON
861	about 30,CARDINAL	2	about 30	CARDINAL
3231	BBC Radio Wales,ORG	2	BBC Radio Wales	ORG
1335	£95m,MONEY	2	£95m	MONEY
2301	the end of last year,DATE	2	the end of last year	DATE
442	Chambers,PERSON	2	Chambers	PERSON
2881	South Shields,GPE	2	South Shields	GPE
444	Enfield Council,ORG	2	Enfield Council	ORG
917	60,DATE	2	60	DATE
1327	Jersey,GPE	2	Jersey	GPE
862	two months ago,DATE	2	two months ago	DATE
237	Tim Lawler,PERSON	2	Tim Lawler	PERSON
2351	600,CARDINAL	2	600	CARDINAL
1852	the Great East Swim,EVENT	2	the Great East Swim	EVENT
3233	up to 40%,PERCENT	2	up to 40%	PERCENT
3301	2.02,CARDINAL	2	2.02	CARDINAL
3284	Stratford International station,FAC	2	Stratford International station	FAC
1318	Andrew Wright,PERSON	2	Andrew Wright	PERSON
1317	Herts,GPE	2	Herts	GPE
1896	Water Cube,FAC	2	Water Cube	FAC
466	the past five years,DATE	2	the past five years	DATE
264	Eastway Users' Group,ORG	2	Eastway Users' Group	ORG
2325	England Hockey's,ORG	2	England Hockey's	ORG
1899	the Forbidden City,FAC	2	the Forbidden City	FAC
1919	an extra one million,CARDINAL	2	an extra one million	CARDINAL
1310	Jackie,PERSON	2	Jackie	PERSON
900	Park,LOC	2	Park	LOC
1902	communist,NORP	2	communist	NORP
898	a Mayoral Development Corporation,ORG	2	a Mayoral Development Corporation	ORG
1914	Espanyol,ORG	2	Espanyol	ORG
1291	the coming weeks,DATE	2	the coming weeks	DATE
269	Eastway Users Group,ORG	2	Eastway Users Group	ORG
891	the East End of,LOC	2	the East End of	LOC
2857	Jason Wink,PERSON	2	Jason Wink	PERSON
2332	the fortnight,DATE	2	the fortnight	DATE
897	Communities,ORG	2	Communities	ORG
2864	July 2012,DATE	2	July 2012	DATE
3267	eight-year,DATE	2	eight-year	DATE
2853	Laura McAllister,PERSON	2	Laura McAllister	PERSON
1927	Chantry,ORG	2	Chantry	ORG
2336	Rugby Union,ORG	2	Rugby Union	ORG
3280	Leyton Orient FC,ORG	2	Leyton Orient FC	ORG
3240	over 50%,PERCENT	2	over 50%	PERCENT
3277	This summer,DATE	2	This summer	DATE
1926	Whitton,ORG	2	Whitton	ORG
2316	four years later,DATE	2	four years later	DATE
3273	Twenty20,CARDINAL	2	Twenty20	CARDINAL
2340	26,MONEY	2	26	MONEY
3272	London Diamond League,EVENT	2	London Diamond League	EVENT
1886	the Handball Arena,FAC	2	the Handball Arena	FAC
2841	Committee,ORG	2	Committee	ORG
2843	Olympic Legacy,EVENT	2	Olympic Legacy	EVENT
1924	Terminal 5,FAC	2	Terminal 5	FAC
1280	250-year,DATE	2	250-year	DATE
255	30 years,DATE	2	30 years	DATE
1921	Catalan,NORP	2	Catalan	NORP
909	last week's,DATE	2	last week's	DATE
2323	24 years ago,DATE	2	24 years ago	DATE
1338	Tim Framp,PERSON	2	Tim Framp	PERSON
3228	£2.5bn the,MONEY	2	£2.5bn the	MONEY
1339	We Are N17,ORG	2	We Are N17	ORG
2284	2,184,600,CARDINAL	2	2,184,600	CARDINAL
217	Jack,PERSON	2	Jack	PERSON
3347	The London Assembly,ORG	2	The London Assembly	ORG
2286	1,981,800,CARDINAL	2	1,981,800	CARDINAL
2287	1,992,CARDINAL	2	1,992	CARDINAL
2383	60 million,CARDINAL	2	60 million	CARDINAL
1372	More than 4,500,CARDINAL	2	More than 4,500	CARDINAL
2382	England Basketball,ORG	2	England Basketball	ORG
1808	Rugby,GPE	2	Rugby	GPE
2903	Murray,PERSON	2	Murray	PERSON
2902	23rd,ORDINAL	2	23rd	ORDINAL
220	Marathon,EVENT	2	Marathon	EVENT
2289	902,400,CARDINAL	2	902,400	CARDINAL
522	Waltham Forest Council,ORG	2	Waltham Forest Council	ORG
845	Stoke-on-Trent,GPE	2	Stoke-on-Trent	GPE
2900	European Indoor trials,EVENT	2	European Indoor trials	EVENT
2899	3000m,QUANTITY	2	3000m	QUANTITY
2896	22,DATE	2	22	DATE
3205	less than a mile,QUANTITY	2	less than a mile	QUANTITY
2906	Badminton England,ORG	2	Badminton England	ORG
1252	a couple of years ago,DATE	2	a couple of years ago	DATE
1381	OLPC,ORG	2	OLPC	ORG
2777	Sailability,ORG	2	Sailability	ORG
3374	100%,PERCENT	2	100%	PERCENT
2908	4%,PERCENT	2	4%	PERCENT
1980	David Kohn,PERSON	2	David Kohn	PERSON
1220	17,DATE	2	17	DATE
1227	Gail Emms,PERSON	2	Gail Emms	PERSON
2278	14-25,DATE	2	14-25	DATE
2282	2,807,200,CARDINAL	2	2,807,200	CARDINAL
935	140,MONEY	2	140	MONEY
1232	Emms,PERSON	2	Emms	PERSON
210	Bob Jones,PERSON	2	Bob Jones	PERSON
216	the Olympics of,EVENT	2	the Olympics of	EVENT
1234	only 18 months,DATE	2	only 18 months	DATE
2781	£9.9bn boost,MONEY	2	£9.9bn boost	MONEY
2783	the Federation of Small Businesses,ORG	2	the Federation of Small Businesses	ORG
1975	SPACE,ORG	2	SPACE	ORG
294	Tower Hamlets,FAC	2	Tower Hamlets	FAC
2789	UKTI,ORG	2	UKTI	ORG
2895	Wallsend,GPE	2	Wallsend	GPE
1347	tens of thousands,MONEY	2	tens of thousands	MONEY
2295	279,400 10,CARDINAL	2	279,400 10	CARDINAL
226	Sotheby’s,ORG	2	Sotheby’s	ORG
3329	39,000,CARDINAL	2	39,000	CARDINAL
1943	the six weeks,DATE	2	the six weeks	DATE
2296	232,100,CARDINAL	2	232,100	CARDINAL
3326	51,000,CARDINAL	2	51,000	CARDINAL
858	106,CARDINAL	2	106	CARDINAL
3224	Eleanor Fawcett,PERSON	2	Eleanor Fawcett	PERSON
3323	the months,DATE	2	the months	DATE
2362	7,500 tonnes,QUANTITY	2	7,500 tonnes	QUANTITY
1355	Newham Council's,ORG	2	Newham Council's	ORG
2804	The Federation of Small Businesses,ORG	2	The Federation of Small Businesses	ORG
3316	Cricket,ORG	2	Cricket	ORG
3227	Less than 1%,PERCENT	2	Less than 1%	PERCENT
361	Havering,GPE	2	Havering	GPE
232	the 1996,EVENT	2	the 1996	EVENT
1350	the close season,DATE	2	the close season	DATE
496	July 20,DATE	2	July 20	DATE
3332	12-month,DATE	2	12-month	DATE
2293	323,500,CARDINAL	2	323,500	CARDINAL
3213	Frontside Gardens,FAC	2	Frontside Gardens	FAC
3334	450,000,CARDINAL	2	450,000	CARDINAL
2370	Vicky Pendleton,PERSON	2	Vicky Pendleton	PERSON
510	the Cycling Centre,FAC	2	the Cycling Centre	FAC
509	Redbridge,GPE	2	Redbridge	GPE
848	Cheshire,GPE	2	Cheshire	GPE
3215	September 2012,DATE	2	September 2012	DATE
2796	Test Match Special,WORK_OF_ART	2	Test Match Special	WORK_OF_ART
2894	Woodward,PERSON	2	Woodward	PERSON
2797	Stefan Szymanski,PERSON	2	Stefan Szymanski	PERSON
2893	Ross Murray,PERSON	2	Ross Murray	PERSON
1959	the Formula One week,DATE	2	the Formula One week	DATE
1255	the National Sports Centre,FAC	2	the National Sports Centre	FAC
3218	May 2012,DATE	2	May 2012	DATE
1958	Monte Carlo,FAC	2	Monte Carlo	FAC
1256	Dame Kelly Holmes,PERSON	2	Dame Kelly Holmes	PERSON
926	56%,PERCENT	2	56%	PERCENT
1259	the London Olympic Stadium,FAC	2	the London Olympic Stadium	FAC
1356	West Ham FC,ORG	2	West Ham FC	ORG
3118	James Stibbs,PERSON	2	James Stibbs	PERSON
1299	56,000,CARDINAL	2	56,000	CARDINAL
3515	15.49 million,CARDINAL	2	15.49 million	CARDINAL
2180	more than 200,000,CARDINAL	2	more than 200,000	CARDINAL
1552	43,CARDINAL	2	43	CARDINAL
2082	Hadleigh Country Park,FAC	2	Hadleigh Country Park	FAC
2084	Essex County Council,ORG	2	Essex County Council	ORG
111	Wimbledon,FAC	2	Wimbledon	FAC
1648	Aquatics Centre,ORG	2	Aquatics Centre	ORG
2085	Hadleigh,GPE	2	Hadleigh	GPE
2151	Stadium MK,FAC	2	Stadium MK	FAC
3095	32,DATE	2	32	DATE
2086	A13,FAC	2	A13	FAC
654	£2.2m,MONEY	2	£2.2m	MONEY
3659	up to two hours,TIME	2	up to two hours	TIME
2120	Becky,PERSON	2	Becky	PERSON
105	six miles,QUANTITY	2	six miles	QUANTITY
3054	Pearson,PERSON	2	Pearson	PERSON
612	Idowu,PERSON	2	Idowu	PERSON
3050	Gaynor Nash,PERSON	2	Gaynor Nash	PERSON
2089	At least two,CARDINAL	2	At least two	CARDINAL
2536	National School Sports Week,EVENT	2	National School Sports Week	EVENT
2596	Goatacre Village Hall,ORG	2	Goatacre Village Hall	ORG
2657	1 March,DATE	2	1 March	DATE
1680	Homebush,GPE	2	Homebush	GPE
2490	the Gold Event Series,EVENT	2	the Gold Event Series	EVENT
3649	less than a year,DATE	2	less than a year	DATE
86	5 July,DATE	2	5 July	DATE
85	6 July, 2005,DATE	2	6 July, 2005	DATE
3019	36%,PERCENT	2	36%	PERCENT
351	olympic,EVENT	2	olympic	EVENT
655	the West Midlands,GPE	2	the West Midlands	GPE
606	Phillips Idowu,PERSON	2	Phillips Idowu	PERSON
682	Cabe,PERSON	2	Cabe	PERSON
2992	several hours,TIME	2	several hours	TIME
1632	the next day,DATE	2	the next day	DATE
1547	Wildcats,ORG	2	Wildcats	ORG
659	£40m,MONEY	2	£40m	MONEY
2185	20-year-old,DATE	2	20-year-old	DATE
2667	Sheffield Council,ORG	2	Sheffield Council	ORG
2482	only 12%,PERCENT	2	only 12%	PERCENT
2076	Clift,PERSON	2	Clift	PERSON
2557	£8.1 billion,MONEY	2	£8.1 billion	MONEY
1684	the ANZ Stadium,FAC	2	the ANZ Stadium	FAC
2997	13%,PERCENT	2	13%	PERCENT
1550	Faz Keyani,PERSON	2	Faz Keyani	PERSON
2553	Public Accounts Committee,ORG	2	Public Accounts Committee	ORG
1638	up to 70,000,CARDINAL	2	up to 70,000	CARDINAL
3037	Grantham,GPE	2	Grantham	GPE
658	November 2007,DATE	2	November 2007	DATE
3039	Oakham,GPE	2	Oakham	GPE
604	Will Young,PERSON	2	Will Young	PERSON
3040	Alan Webster,PERSON	2	Alan Webster	PERSON
3000	the same day,DATE	2	the same day	DATE
3002	Michelle Dix,PERSON	2	Michelle Dix	PERSON
2182	the Tour of Britain,EVENT	2	the Tour of Britain	EVENT
3044	the last 18 months,DATE	2	the last 18 months	DATE
2541	the Schools Sports Partnership,ORG	2	the Schools Sports Partnership	ORG
2124	Radcliffe,GPE	2	Radcliffe	GPE
68	91%,PERCENT	2	91%	PERCENT
67	83%,PERCENT	2	83%	PERCENT
1094	University of East London,ORG	2	University of East London	ORG
2613	weekends,DATE	2	weekends	DATE
2110	Rutland,GPE	2	Rutland	GPE
3636	one month,DATE	2	one month	DATE
2109	Rutland County Council,ORG	2	Rutland County Council	ORG
2108	Roger Begy,PERSON	2	Roger Begy	PERSON
1096	635,000,MONEY	2	635,000	MONEY
1066	DLR,FAC	2	DLR	FAC
1097	Lea River Park,FAC	2	Lea River Park	FAC
2104	Derbyshire,GPE	2	Derbyshire	GPE
3084	St James's Park,FAC	2	St James's Park	FAC
706	the next couple of years,DATE	2	the next couple of years	DATE
2100	the months ahead,DATE	2	the months ahead	DATE
3082	Wyman,PERSON	2	Wyman	PERSON
1572	Sanders,PERSON	2	Sanders	PERSON
2532	Wasim Khan,PERSON	2	Wasim Khan	PERSON
3072	up to 50,000,CARDINAL	2	up to 50,000	CARDINAL
3611	42,MONEY	2	42	MONEY
2623	Baroness Grey-Thompson,PERSON	2	Baroness Grey-Thompson	PERSON
2101	Garry McBride,PERSON	2	Garry McBride	PERSON
633	World War II,EVENT	2	World War II	EVENT
3612	the Olympic Stadium's,FAC	2	the Olympic Stadium's	FAC
2102	Evans Concrete Products,ORG	2	Evans Concrete Products	ORG
638	a Great Exhibition,EVENT	2	a Great Exhibition	EVENT
337	The River Lea,LOC	2	The River Lea	LOC
1664	last October,DATE	2	last October	DATE
