	entity_ner_class	count	ner_class	entity_name
0	London,GPE	2127	London	GPE
3	Games,EVENT	1610	Games	EVENT
79	Olympics,EVENT	1232	Olympics	EVENT
5	Olympic,EVENT	1035	Olympic	EVENT
6	2012,DATE	852	2012	DATE
716	West Ham,ORG	603	West Ham	ORG
60	one,CARDINAL	501	one	CARDINAL
99	first,ORDINAL	470	first	ORDINAL
84	Britain,GPE	444	Britain	GPE
320	London 2012,EVENT	430	London 2012	EVENT
4	two,CARDINAL	333	two	CARDINAL
100	British,NORP	333	British	NORP
16	Coe,PERSON	318	Coe	PERSON
103	UK,GPE	312	UK	GPE
214	m,MONEY	294	m	MONEY
102	Stratford,GPE	288	Stratford	GPE
717	the Olympic Stadium,FAC	285	the Olympic Stadium	FAC
157	the Olympic Park,FAC	272	the Olympic Park	FAC
453	Sport England,ORG	222	Sport England	ORG
325	England,GPE	207	England	GPE
988	Tottenham,ORG	200	Tottenham	ORG
1956	LLDC,ORG	195	LLDC	ORG
460	Boris Johnson,PERSON	192	Boris Johnson	PERSON
591	Johnson,PERSON	176	Johnson	PERSON
846	three,CARDINAL	168	three	CARDINAL
756	OPLC,ORG	167	OPLC	ORG
139	today,DATE	138	today	DATE
524	Newham,GPE	137	Newham	GPE
69	five,CARDINAL	129	five	CARDINAL
1001	Spurs,ORG	128	Spurs	ORG
46	2005,DATE	127	2005	DATE
554	One,CARDINAL	125	One	CARDINAL
104	four,CARDINAL	120	four	CARDINAL
18	IOC,ORG	118	IOC	ORG
98	BBC,ORG	114	BBC	ORG
141	Londoners,NORP	109	Londoners	NORP
507	Beijing,GPE	108	Beijing	GPE
502	second,ORDINAL	108	second	ORDINAL
652	Paralympics,EVENT	98	Paralympics	EVENT
776	Labour,ORG	98	Labour	ORG
727	Locog,ORG	97	Locog	ORG
733	Olympic Stadium,FAC	96	Olympic Stadium	FAC
1021	David Cameron,PERSON	96	David Cameron	PERSON
72	Olympic,ORG	95	Olympic	ORG
355	Labour,NORP	93	Labour	NORP
1741	Team GB,ORG	92	Team GB	ORG
263	last year,DATE	91	last year	DATE
322	the London Olympics,EVENT	91	the London Olympics	EVENT
943	UK Sport,ORG	91	UK Sport	ORG
671	Government,ORG	89	Government	ORG
348	thousands,CARDINAL	87	thousands	CARDINAL
743	West Ham's,ORG	87	West Ham's	ORG
156	the Olympic Games,EVENT	86	the Olympic Games	EVENT
266	ODA,ORG	84	ODA	ORG
722	Premier League,ORG	83	Premier League	ORG
1155	this week,DATE	83	this week	DATE
193	Park,FAC	82	Park	FAC
1873	the London Legacy Development Corporation,ORG	82	the London Legacy Development Corporation	ORG
849	2016,DATE	82	2016	DATE
42	Olympic Park,FAC	81	Olympic Park	FAC
58	2010,DATE	80	2010	DATE
896	half,CARDINAL	78	half	CARDINAL
642	Wales,GPE	78	Wales	GPE
974	annual,DATE	76	annual	DATE
1187	West Ham United,ORG	74	West Ham United	ORG
24	Tessa Jowell,PERSON	73	Tessa Jowell	PERSON
22	Olympic Games,EVENT	73	Olympic Games	EVENT
174	the International Olympic Committee,ORG	73	the International Olympic Committee	ORG
3111	Mo Farah,PERSON	69	Mo Farah	PERSON
945	Robertson,PERSON	69	Robertson	PERSON
2315	World Cup,EVENT	67	World Cup	EVENT
1002	2015,DATE	66	2015	DATE
726	the Olympic Park Legacy Company,ORG	65	the Olympic Park Legacy Company	ORG
467	last week,DATE	64	last week	DATE
723	Upton Park,FAC	64	Upton Park	FAC
1263	Leyton Orient,ORG	64	Leyton Orient	ORG
1333	the Queen Elizabeth Olympic Park,FAC	64	the Queen Elizabeth Olympic Park	FAC
928	Hugh Robertson,PERSON	64	Hugh Robertson	PERSON
805	Newham Council,ORG	64	Newham Council	ORG
857	the London Games,EVENT	63	the London Games	EVENT
1204	Jessica Ennis,PERSON	63	Jessica Ennis	PERSON
35	2008,DATE	63	2008	DATE
628	third,ORDINAL	61	third	ORDINAL
43	Manchester,GPE	60	Manchester	GPE
611	Athens,GPE	60	Athens	GPE
338	Olympic,FAC	60	Olympic	FAC
905	six,CARDINAL	59	six	CARDINAL
438	UK Athletics,ORG	58	UK Athletics	ORG
794	Europe,LOC	58	Europe	LOC
317	Friday,DATE	58	Friday	DATE
949	2013,DATE	57	2013	DATE
175	Singapore,GPE	57	Singapore	GPE
1007	yesterday,DATE	57	yesterday	DATE
1610	Cameron,PERSON	56	Cameron	PERSON
1065	2004,DATE	56	2004	DATE
282	10,CARDINAL	56	10	CARDINAL
356	China,GPE	56	China	GPE
856	AEG,ORG	56	AEG	ORG
1053	Michael Gove,PERSON	55	Michael Gove	PERSON
873	60,000,CARDINAL	54	60,000	CARDINAL
71	Barcelona,GPE	54	Barcelona	GPE
3510	Guardian,ORG	53	Guardian	ORG
417	Jowell,PERSON	52	Jowell	PERSON
1032	BOA,ORG	52	BOA	ORG
1134	2017,DATE	52	2017	DATE
160	Sydney,GPE	52	Sydney	GPE
1478	2014,DATE	51	2014	DATE
2950	this year,DATE	51	this year	DATE
2528	Sheffield,GPE	50	Sheffield	GPE
748	Arsenal,ORG	50	Arsenal	ORG
352	millions,CARDINAL	50	millions	CARDINAL
401	Boris,PERSON	49	Boris	PERSON
732	80,000,CARDINAL	49	80,000	CARDINAL
1456	Conservative,NORP	48	Conservative	NORP
295	Hackney,GPE	48	Hackney	GPE
3616	25,000,CARDINAL	47	25,000	CARDINAL
1685	Australia,GPE	46	Australia	GPE
734	East London,GPE	46	East London	GPE
132	years,DATE	46	years	DATE
13	Sebastian Coe,PERSON	45	Sebastian Coe	PERSON
449	next year,DATE	44	next year	DATE
983	Newham,ORG	44	Newham	ORG
4129	West Ham’s,ORG	43	West Ham’s	ORG
1125	Usain Bolt,PERSON	43	Usain Bolt	PERSON
4502	Brady,PERSON	43	Brady	PERSON
63	American,NORP	43	American	NORP
2642	post-2012,DATE	43	post-2012	DATE
2260	East Village,LOC	42	East Village	LOC
142	Ken Livingstone,PERSON	42	Ken Livingstone	PERSON
1034	English,NORP	41	English	NORP
1081	2009,DATE	40	2009	DATE
985	Karren Brady,PERSON	40	Karren Brady	PERSON
265	the Olympic Delivery Authority,ORG	40	the Olympic Delivery Authority	ORG
307	Sunday,DATE	40	Sunday	DATE
486	Crystal Palace,FAC	40	Crystal Palace	FAC
839	pre-2012,DATE	40	pre-2012	DATE
2043	Rio,GPE	39	Rio	GPE
2416	Tory,NORP	39	Tory	NORP
6118	Bolt,PERSON	39	Bolt	PERSON
4194	Coalition,ORG	39	Coalition	ORG
1399	seven,CARDINAL	39	seven	CARDINAL
1038	Sport England's,ORG	38	Sport England's	ORG
66	Paralympic,EVENT	38	Paralympic	EVENT
162	the East End,LOC	38	the East End	LOC
5514	Farah,PERSON	37	Farah	PERSON
28	Paris,GPE	37	Paris	GPE
1316	FA,ORG	37	FA	ORG
91	Birmingham,GPE	37	Birmingham	GPE
4295	IAAF,ORG	36	IAAF	ORG
1179	Queen Elizabeth Olympic Park,FAC	36	Queen Elizabeth Olympic Park	FAC
180	The Olympic Stadium,FAC	36	The Olympic Stadium	FAC
1453	Westfield,FAC	36	Westfield	FAC
616	four years,DATE	36	four years	DATE
774	Ford,PERSON	35	Ford	PERSON
1457	2011,DATE	35	2011	DATE
718	David Gold,PERSON	35	David Gold	PERSON
1884	a year,DATE	35	a year	DATE
2685	Dennis Hone,PERSON	35	Dennis Hone	PERSON
908	France,GPE	35	France	GPE
731	last month,DATE	35	last month	DATE
1483	Hunt,PERSON	35	Hunt	PERSON
3607	Chelsea,ORG	35	Chelsea	ORG
118	Glasgow,GPE	35	Glasgow	GPE
1207	two hours,TIME	35	two hours	TIME
124	Thursday,DATE	34	Thursday	DATE
1972	Saturday,DATE	34	Saturday	DATE
1652	summer,DATE	34	summer	DATE
228	LOCOG,ORG	34	LOCOG	ORG
2371	Chris Hoy,PERSON	34	Chris Hoy	PERSON
526	Tower Hamlets,GPE	34	Tower Hamlets	GPE
2959	Hone,PERSON	34	Hone	PERSON
1520	Olympic,NORP	34	Olympic	NORP
739	Hammers,ORG	33	Hammers	ORG
123	Wednesday,DATE	33	Wednesday	DATE
531	Robin Wales,PERSON	33	Robin Wales	PERSON
968	July,DATE	33	July	DATE
4758	Orient,ORG	33	Orient	ORG
614	eight,CARDINAL	33	eight	CARDINAL
379	Great Britain,GPE	33	Great Britain	GPE
936	Jeremy Hunt,PERSON	33	Jeremy Hunt	PERSON
730	David Sullivan,PERSON	32	David Sullivan	PERSON
749	the Premier League,ORG	32	the Premier League	ORG
27	1,CARDINAL	32	1	CARDINAL
110	Wembley,FAC	32	Wembley	FAC
686	2007,DATE	32	2007	DATE
975	last summer,DATE	32	last summer	DATE
75	Atlanta,GPE	32	Atlanta	GPE
1159	East End,LOC	31	East End	LOC
1184	Tottenham Hotspur,ORG	31	Tottenham Hotspur	ORG
70	European,NORP	31	European	NORP
1074	2006,DATE	31	2006	DATE
2618	Olympic and Paralympic Games,EVENT	31	Olympic and Paralympic Games	EVENT
1750	this summer,DATE	31	this summer	DATE
922	Monday,DATE	30	Monday	DATE
4725	Brazil,GPE	30	Brazil	GPE
1398	Surrey,GPE	30	Surrey	GPE
475	LDA,ORG	30	LDA	ORG
188	Olympians,NORP	29	Olympians	NORP
989	White Hart Lane,FAC	29	White Hart Lane	FAC
138	NHS,ORG	29	NHS	ORG
1475	2018,DATE	29	2018	DATE
747	Commonwealth Games,EVENT	29	Commonwealth Games	EVENT
895	Treasury,ORG	28	Treasury	ORG
519	the London 2012 Olympics,EVENT	28	the London 2012 Olympics	EVENT
511	Today,DATE	28	Today	DATE
875	the summer,DATE	28	the summer	DATE
1047	year,DATE	28	year	DATE
4288	Ennis,PERSON	28	Ennis	PERSON
994	the London 2012 Games,EVENT	28	the London 2012 Games	EVENT
7587	Manchester United,ORG	27	Manchester United	ORG
3030	Rugby World Cup,EVENT	27	Rugby World Cup	EVENT
4556	Canary Wharf,FAC	27	Canary Wharf	FAC
247	Lord Coe,PERSON	27	Lord Coe	PERSON
1993	three years,DATE	27	three years	DATE
2425	Tony Blair,PERSON	27	Tony Blair	PERSON
948	one million,CARDINAL	27	one million	CARDINAL
119	Newcastle,GPE	27	Newcastle	GPE
258	fourth,ORDINAL	27	fourth	ORDINAL
45	2002,DATE	27	2002	DATE
850	2020,DATE	26	2020	DATE
196	hundreds,CARDINAL	26	hundreds	CARDINAL
1271	Keith Mills,PERSON	26	Keith Mills	PERSON
796	the Aquatics Centre,FAC	26	the Aquatics Centre	FAC
1501	the British Olympic Association,ORG	26	the British Olympic Association	ORG
592	Tuesday,DATE	26	Tuesday	DATE
1379	Paralympic Games,EVENT	26	Paralympic Games	EVENT
349	East London,LOC	26	East London	LOC
1718	10,000,CARDINAL	25	10,000	CARDINAL
1276	night,TIME	25	night	TIME
120	Weymouth,GPE	25	Weymouth	GPE
1058	Gove,PERSON	25	Gove	PERSON
1019	August,DATE	25	August	DATE
9	1996,DATE	25	1996	DATE
643	Welsh,NORP	25	Welsh	NORP
1882	TfL,ORG	25	TfL	ORG
595	decades,DATE	25	decades	DATE
593	September,DATE	25	September	DATE
972	99-year,DATE	25	99-year	DATE
512	the London 2012,EVENT	24	the London 2012	EVENT
872	March,DATE	24	March	DATE
2135	GB,GPE	24	GB	GPE
1397	two years,DATE	24	two years	DATE
931	Education,ORG	24	Education	ORG
1717	G4S,ORG	24	G4S	ORG
3282	Barry Hearn,PERSON	24	Barry Hearn	PERSON
738	Ed Warner,PERSON	23	Ed Warner	PERSON
36	1992,DATE	23	1992	DATE
960	the past year,DATE	23	the past year	DATE
1332	West Ham,GPE	23	West Ham	GPE
1190	London 2012,DATE	23	London 2012	DATE
2710	162,MONEY	23	162	MONEY
354	Seb Coe,PERSON	23	Seb Coe	PERSON
816	London Olympics,EVENT	23	London Olympics	EVENT
1820	Greece,GPE	23	Greece	GPE
514	Chinese,NORP	23	Chinese	NORP
3010	this weekend,DATE	23	this weekend	DATE
810	January,DATE	23	January	DATE
1413	Moynihan,PERSON	23	Moynihan	PERSON
759	Andrew Altman,PERSON	23	Andrew Altman	PERSON
2283	2,CARDINAL	23	2	CARDINAL
435	the year,DATE	22	the year	DATE
147	the day,DATE	22	the day	DATE
135	Blair,PERSON	22	Blair	PERSON
51	20,CARDINAL	22	20	CARDINAL
5367	New Zealand,GPE	22	New Zealand	GPE
1138	Tottenham,GPE	22	Tottenham	GPE
605	Bradley Wiggins,PERSON	22	Bradley Wiggins	PERSON
1352	February,DATE	22	February	DATE
944	the Youth Sport Trust,ORG	22	the Youth Sport Trust	ORG
259	Sports,ORG	22	Sports	ORG
582	tomorrow,DATE	22	tomorrow	DATE
55	US,GPE	22	US	GPE
392	First,ORDINAL	22	First	ORDINAL
1421	British Cycling,ORG	22	British Cycling	ORG
3604	Manchester City,ORG	21	Manchester City	ORG
6858	Hearn,PERSON	21	Hearn	PERSON
1867	70,000,CARDINAL	21	70,000	CARDINAL
753	every week,DATE	21	every week	DATE
3834	Britons,NORP	21	Britons	NORP
735	The Olympic Park Legacy Company,ORG	21	The Olympic Park Legacy Company	ORG
149	Two,CARDINAL	21	Two	CARDINAL
2020	Lottery,ORG	21	Lottery	ORG
644	Scotland,GPE	21	Scotland	GPE
635	40,MONEY	21	40	MONEY
1228	December,DATE	21	December	DATE
277	BBC London,ORG	21	BBC London	ORG
1315	Essex,GPE	21	Essex	GPE
335	5,CARDINAL	20	5	CARDINAL
3260	Haringey,GPE	20	Haringey	GPE
2280	four-year,DATE	20	four-year	DATE
1133	World Championships,EVENT	20	World Championships	EVENT
3009	the Anniversary Games,EVENT	20	the Anniversary Games	EVENT
332	4,CARDINAL	20	4	CARDINAL
5542	Paralympic,NORP	20	Paralympic	NORP
90	2000,DATE	20	2000	DATE
199	Olympic,DATE	20	Olympic	DATE
10465	more than,DATE	20	more than	DATE
1242	the Department for Culture, Media and Sport,ORG	20	the Department for Culture, Media and Sport	ORG
411	the years,DATE	20	the years	DATE
795	DCMS,ORG	20	DCMS	ORG
963	two million,CARDINAL	20	two million	CARDINAL
899	Whitehall,ORG	20	Whitehall	ORG
3142	Greg Rutherford,PERSON	19	Greg Rutherford	PERSON
2162	10-year,DATE	19	10-year	DATE
9031	54,000,CARDINAL	19	54,000	CARDINAL
23	Culture,ORG	19	Culture	ORG
1778	Qatar,GPE	19	Qatar	GPE
3536	Crouch,PERSON	19	Crouch	PERSON
1015	UKA,ORG	19	UKA	ORG
1229	the Department for Education,ORG	19	the Department for Education	ORG
29	French,NORP	19	French	NORP
868	Margaret Ford,PERSON	19	Margaret Ford	PERSON
3683	the World Championships,EVENT	19	the World Championships	EVENT
65	12,CARDINAL	19	12	CARDINAL
300	the London Assembly,ORG	19	the London Assembly	ORG
299	50%,PERCENT	19	50%	PERCENT
1341	Sanderson,PERSON	19	Sanderson	PERSON
6069	Daley,PERSON	18	Daley	PERSON
2285	3,CARDINAL	18	3	CARDINAL
811	Sullivan,PERSON	18	Sullivan	PERSON
125	morning,TIME	18	morning	TIME
1833	200m,QUANTITY	18	200m	QUANTITY
1625	the last year,DATE	18	the last year	DATE
1626	last year's,DATE	18	last year's	DATE
116	Buckingham Palace,FAC	18	Buckingham Palace	FAC
2179	Laura Trott,PERSON	18	Laura Trott	PERSON
662	20,000,CARDINAL	18	20,000	CARDINAL
342	weekly,DATE	18	weekly	DATE
437	recent years,DATE	18	recent years	DATE
231	10 years,DATE	18	10 years	DATE
626	50,CARDINAL	18	50	CARDINAL
1691	5,000,CARDINAL	18	5,000	CARDINAL
2450	Victoria Pendleton,PERSON	18	Victoria Pendleton	PERSON
47	World Athletics Championships,EVENT	18	World Athletics Championships	EVENT
1881	Transport for London,ORG	18	Transport for London	ORG
2170	Stephen Twigg,PERSON	18	Stephen Twigg	PERSON
2161	at least two hours,TIME	18	at least two hours	TIME
569	Greenwich Park,FAC	18	Greenwich Park	FAC
904	Team GB's,ORG	17	Team GB's	ORG
513	the next four years,DATE	17	the next four years	DATE
6226	Campbell,PERSON	17	Campbell	PERSON
740	Warner,PERSON	17	Warner	PERSON
1040	Price,PERSON	17	Price	PERSON
14	50m,QUANTITY	17	50m	QUANTITY
5546	Tom Daley,PERSON	17	Tom Daley	PERSON
1414	earlier this year,DATE	17	earlier this year	DATE
308	five years,DATE	17	five years	DATE
368	14,CARDINAL	17	14	CARDINAL
76	1984,DATE	17	1984	DATE
2634	six months,DATE	17	six months	DATE
3464	Leeds,GPE	17	Leeds	GPE
3290	the Paralympic Games,EVENT	17	the Paralympic Games	EVENT
44	the Commonwealth Games,EVENT	17	the Commonwealth Games	EVENT
56	New York,GPE	17	New York	GPE
229	Last week,DATE	17	Last week	DATE
3686	Sadiq Khan,PERSON	17	Sadiq Khan	PERSON
117	Cardiff,GPE	17	Cardiff	GPE
25	next month,DATE	17	next month	DATE
2978	Germany,GPE	17	Germany	GPE
2847	Ofsted,ORG	17	Ofsted	ORG
81	Russia,GPE	16	Russia	GPE
6281	Westfield,GPE	16	Westfield	GPE
527	Greenwich,GPE	16	Greenwich	GPE
1149	October,DATE	16	October	DATE
721	Gold,PERSON	16	Gold	PERSON
1826	Greek,NORP	16	Greek	NORP
1275	Mills,PERSON	16	Mills	PERSON
5506	Super Saturday,EVENT	16	Super Saturday	EVENT
2434	Ben Ainslie,PERSON	16	Ben Ainslie	PERSON
2177	Tour de France,EVENT	16	Tour de France	EVENT
409	Australian,NORP	16	Australian	NORP
2679	100m,QUANTITY	16	100m	QUANTITY
1488	50,000,MONEY	16	50,000	MONEY
1351	Tessa,PERSON	16	Tessa	PERSON
2107	Getty Images,ORG	16	Getty Images	ORG
3795	The Daily Telegraph,ORG	16	The Daily Telegraph	ORG
3687	Khan,PERSON	16	Khan	PERSON
1305	many years,DATE	16	many years	DATE
940	George Osborne,PERSON	16	George Osborne	PERSON
645	Northern Ireland,GPE	16	Northern Ireland	GPE
3211	Hackney Wick,GPE	16	Hackney Wick	GPE
1961	Portland,GPE	16	Portland	GPE
1800	the Olympic and Paralympic Games,EVENT	16	the Olympic and Paralympic Games	EVENT
1912	winter,DATE	15	winter	DATE
2686	Clive Efford,PERSON	15	Clive Efford	PERSON
1658	The London Legacy Development Corporation,ORG	15	The London Legacy Development Corporation	ORG
1872	Daniel Moylan,PERSON	15	Daniel Moylan	PERSON
1435	Diamond League,ORG	15	Diamond League	ORG
1470	every year,DATE	15	every year	DATE
1916	26,CARDINAL	15	26	CARDINAL
690	this month,DATE	15	this month	DATE
2026	15,MONEY	15	15	MONEY
1952	June,DATE	15	June	DATE
530	Stratford City,GPE	15	Stratford City	GPE
2178	Great Britain's,GPE	15	Great Britain's	GPE
1711	PAC,ORG	15	PAC	ORG
113	Dome,FAC	15	Dome	FAC
2672	each week,DATE	15	each week	DATE
1037	Jennie Price,PERSON	15	Jennie Price	PERSON
2009	150,MONEY	15	150	MONEY
11612	Franglen,PERSON	15	Franglen	PERSON
4107	the World Cup,EVENT	15	the World Cup	EVENT
1615	National Lottery,ORG	15	National Lottery	ORG
1690	17,CARDINAL	15	17	CARDINAL
8138	Sunderland,ORG	15	Sunderland	ORG
4311	Doha,GPE	15	Doha	GPE
1790	13,CARDINAL	15	13	CARDINAL
131	week,DATE	15	week	DATE
198	nine,CARDINAL	15	nine	CARDINAL
122	Caborn,PERSON	15	Caborn	PERSON
3887	Yorkshire,GPE	15	Yorkshire	GPE
1285	Daniel Levy,PERSON	15	Daniel Levy	PERSON
1749	two years ago,DATE	15	two years ago	DATE
1292	Olympian,NORP	15	Olympian	NORP
2395	Liverpool,GPE	15	Liverpool	GPE
1408	next summer,DATE	15	next summer	DATE
1142	April,DATE	15	April	DATE
2507	15,CARDINAL	15	15	CARDINAL
1777	Paralympic,DATE	15	Paralympic	DATE
1309	daily,DATE	15	daily	DATE
268	the London Development Agency,ORG	14	the London Development Agency	ORG
83	Moscow,GPE	14	Moscow	GPE
890	Ford,ORG	14	Ford	ORG
3387	University College London,ORG	14	University College London	ORG
445	May,DATE	14	May	DATE
2549	NAO,ORG	14	NAO	ORG
3880	19,CARDINAL	14	19	CARDINAL
1031	British Olympic Association,ORG	14	British Olympic Association	ORG
7633	UEFA,ORG	14	UEFA	ORG
1716	Hodge,PERSON	14	Hodge	PERSON
5711	De Vos,PERSON	14	De Vos	PERSON
669	£9.3 billion,MONEY	14	£9.3 billion	MONEY
1289	Olympic Park Legacy Company,ORG	14	Olympic Park Legacy Company	ORG
3632	the European Commission,ORG	14	the European Commission	ORG
1342	Stadium,FAC	14	Stadium	FAC
1962	400,CARDINAL	14	400	CARDINAL
525	Waltham Forest,GPE	14	Waltham Forest	GPE
1387	The Olympic Park,FAC	14	The Olympic Park	FAC
2200	Deloitte,ORG	14	Deloitte	ORG
152	sixth,ORDINAL	14	sixth	ORDINAL
246	London,EVENT	14	London	EVENT
1923	Heathrow,FAC	14	Heathrow	FAC
9438	the East Village,LOC	14	the East Village	LOC
788	Last year,DATE	14	Last year	DATE
2381	3,000,CARDINAL	14	3,000	CARDINAL
5192	Lee,PERSON	14	Lee	PERSON
1330	next week,DATE	14	next week	DATE
2648	Don Valley Stadium,FAC	14	Don Valley Stadium	FAC
4012	Gerbeau,PERSON	14	Gerbeau	PERSON
3633	EU,ORG	14	EU	ORG
4937	Telegraph,ORG	14	Telegraph	ORG
2447	Nicola Adams,PERSON	13	Nicola Adams	PERSON
3472	York,GPE	13	York	GPE
2721	months,DATE	13	months	DATE
10665	Guardian Professional,ORG	13	Guardian Professional	ORG
4783	Qatari,NORP	13	Qatari	NORP
7727	FIFA,ORG	13	FIFA	ORG
942	the National Lottery,ORG	13	the National Lottery	ORG
126	Kent,GPE	13	Kent	GPE
1819	English,LANGUAGE	13	English	LANGUAGE
17	International Olympic Committee,ORG	13	International Olympic Committee	ORG
2001	British Swimming,ORG	13	British Swimming	ORG
1596	35%,PERCENT	13	35%	PERCENT
3259	Harris,PERSON	13	Harris	PERSON
1997	the 2012,EVENT	13	the 2012	EVENT
6748	Jamaican,NORP	13	Jamaican	NORP
2428	Thames,LOC	13	Thames	LOC
1709	Margaret Hodge,PERSON	13	Margaret Hodge	PERSON
1816	1988,DATE	13	1988	DATE
5439	Commons,ORG	13	Commons	ORG
3110	Andy Murray,PERSON	13	Andy Murray	PERSON
719	Livingstone,PERSON	13	Livingstone	PERSON
1082	Triathlon Homes,ORG	13	Triathlon Homes	ORG
3943	12,000,CARDINAL	13	12,000	CARDINAL
1839	Spain,GPE	13	Spain	GPE
1088	40%,PERCENT	13	40%	PERCENT
3835	last night,TIME	13	last night	TIME
1454	post-Games,EVENT	13	post-Games	EVENT
1337	a decade,DATE	13	a decade	DATE
7588	Liverpool,ORG	13	Liverpool	ORG
903	Rebecca Adlington,PERSON	13	Rebecca Adlington	PERSON
3201	m,CARDINAL	13	m	CARDINAL
1246	Live Nation,ORG	13	Live Nation	ORG
177	City,GPE	13	City	GPE
2658	Don Valley,LOC	13	Don Valley	LOC
3141	Jessica Ennis-Hill,PERSON	13	Jessica Ennis-Hill	PERSON
1147	Robin,PERSON	13	Robin	PERSON
5331	Rio de Janeiro,GPE	13	Rio de Janeiro	GPE
89	1948,DATE	13	1948	DATE
362	the Olympic Village,FAC	13	the Olympic Village	FAC
11028	UCL,ORG	13	UCL	ORG
583	O2,ORG	13	O2	ORG
2047	Coventry,GPE	13	Coventry	GPE
33	2003,DATE	13	2003	DATE
1173	a million,CARDINAL	12	a million	CARDINAL
8865	480,MONEY	12	480	MONEY
1013	100,CARDINAL	12	100	CARDINAL
249	BBC Sport,ORG	12	BBC Sport	ORG
260	Richard Caborn,PERSON	12	Richard Caborn	PERSON
3117	30 minutes,TIME	12	30 minutes	TIME
2809	1.4 million,CARDINAL	12	1.4 million	CARDINAL
959	Osborne,PERSON	12	Osborne	PERSON
4339	Sport England’s,ORG	12	Sport England’s	ORG
1585	these days,DATE	12	these days	DATE
7691	West Ham,WORK_OF_ART	12	West Ham	WORK_OF_ART
2164	every day,DATE	12	every day	DATE
1706	Today,WORK_OF_ART	12	Today	WORK_OF_ART
1879	Moylan,PERSON	12	Moylan	PERSON
2147	this season,DATE	12	this season	DATE
1334	Parliament,ORG	12	Parliament	ORG
4274	Sue Campbell,PERSON	12	Sue Campbell	PERSON
3522	Tracey Crouch,PERSON	12	Tracey Crouch	PERSON
464	the Greater London Authority,ORG	12	the Greater London Authority	ORG
5659	Danny Boyle,PERSON	12	Danny Boyle	PERSON
770	Baroness Ford,PERSON	12	Baroness Ford	PERSON
2755	last summer's,DATE	12	last summer's	DATE
1918	days,DATE	12	days	DATE
1848	Seoul,GPE	12	Seoul	GPE
4275	YST,ORG	12	YST	ORG
668	The Olympic Delivery Authority,ORG	12	The Olympic Delivery Authority	ORG
2259	2,818,CARDINAL	12	2,818	CARDINAL
1210	This week,DATE	12	This week	DATE
5564	this morning,TIME	12	this morning	TIME
1957	Monaco,GPE	12	Monaco	GPE
454	21,CARDINAL	12	21	CARDINAL
1039	Paralympians,NORP	12	Paralympians	NORP
5547	11,CARDINAL	12	11	CARDINAL
3195	Ohuruogu,PERSON	12	Ohuruogu	PERSON
238	Wimbledon,EVENT	12	Wimbledon	EVENT
5075	8,000,CARDINAL	11	8,000	CARDINAL
2684	London Legacy Development Corporation,ORG	11	London Legacy Development Corporation	ORG
39	Madrid,GPE	11	Madrid	GPE
8134	United,ORG	11	United	ORG
1238	Lamine Diack,PERSON	11	Lamine Diack	PERSON
158	America,GPE	11	America	GPE
3748	November,DATE	11	November	DATE
5108	Earlier this year,DATE	11	Earlier this year	DATE
5183	tonight,TIME	11	tonight	TIME
2656	Don Valley,FAC	11	Don Valley	FAC
697	London Assembly,ORG	11	London Assembly	ORG
225	Last month,DATE	11	Last month	DATE
3690	E20,ORG	11	E20	ORG
825	the London Organising Committee,ORG	11	the London Organising Committee	ORG
594	Gordon Brown,PERSON	11	Gordon Brown	PERSON
3274	2022,DATE	11	2022	DATE
10442	Clays Lane,FAC	11	Clays Lane	FAC
6292	Chobham Manor,FAC	11	Chobham Manor	FAC
1619	10,MONEY	11	10	MONEY
610	Wiggins,PERSON	11	Wiggins	PERSON
6347	annually,DATE	11	annually	DATE
665	80%,PERCENT	11	80%	PERCENT
585	Jacques Rogge,PERSON	11	Jacques Rogge	PERSON
639	the East Midlands,LOC	11	the East Midlands	LOC
2861	30,CARDINAL	11	30	CARDINAL
7286	Harry,PERSON	11	Harry	PERSON
1141	the International Association of Athletics Federations,ORG	11	the International Association of Athletics Federations	ORG
3584	State,ORG	11	State	ORG
9952	Observer,ORG	11	Observer	ORG
2466	Christine Ohuruogu,PERSON	11	Christine Ohuruogu	PERSON
3055	1,000,CARDINAL	11	1,000	CARDINAL
1144	Three,CARDINAL	11	Three	CARDINAL
2455	Katherine Grainger,PERSON	11	Katherine Grainger	PERSON
114	Horse Guards Parade,FAC	11	Horse Guards Parade	FAC
2453	Helen Glover,PERSON	11	Helen Glover	PERSON
3857	Andy Burnham,PERSON	11	Andy Burnham	PERSON
1340	Tessa Sanderson,PERSON	11	Tessa Sanderson	PERSON
462	City Hall,ORG	11	City Hall	ORG
2822	Neale Coleman,PERSON	11	Neale Coleman	PERSON
1016	Warner,ORG	11	Warner	ORG
851	GB,ORG	11	GB	ORG
2431	seven years,DATE	11	seven years	DATE
1130	Velodrome,FAC	11	Velodrome	FAC
1362	Croydon,GPE	11	Croydon	GPE
3870	1,MONEY	11	1	MONEY
2475	Sarah Storey,PERSON	11	Sarah Storey	PERSON
2398	Ireland,GPE	11	Ireland	GPE
1028	100,000,CARDINAL	11	100,000	CARDINAL
1460	20,MONEY	11	20	MONEY
11411	100 64,CARDINAL	11	100 64	CARDINAL
2718	DfE,ORG	11	DfE	ORG
2297	the Sport and Recreation Alliance,ORG	11	the Sport and Recreation Alliance	ORG
